,Alloy System,Composition,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References
1,AgAlCoCrCuNi,AgAlCoCrCuNi,AC,SS+IM,2FCC+B2,6.0,3,H,1
2,AlAuCoCrCuNi,AlAuCoCrCuNi,AC,SS+IM,FCC+L10,6.0,2,H,1
3,AlCoCrCuFe,AlCoCrCu0.5Fe,AC,SS+IM,FCC+B2,5.0,2,,2
4,,AlCoCrCuFe,MA+SPS,SS+IM,FCC+B2+,5.0,3,H,3
5,AlCoCrCuFeMnNi,AlCoCrCuFeMnNi,AC,SS+IM,FCC+2B2,7.0,3,M,4
6,AlCoCrCuFeMnNiTiV,Al0.125CoCrCuFeMnNiTiV,AC,SS,BCC+FCC,9.0,2,M,5
7,,Al0.25CoCrCuFeMnNiTiV,AC,SS,BCC,9.0,1,M,5
8,,Al0.67CoCrCuFeMnNiTiV,AC,SS+IM,BCC+D022+IM,9.0,3,M,5
9,AlCoCrCuFeMoNi,AlCoCrCuFeMo0.2Ni,AC,SS,BCC+FCC,7.0,2,M,6
10,,AlCoCrCuFeMo0.4Ni,AC,Unk,BCC+Unk,7.0,2,M,6
11,,AlCoCrCuFeMo0.6Ni,AC,Unk,BCC+Unk,7.0,2,M,6
12,,AlCoCrCuFeMo0.8Ni,AC,Unk,BCC+Unk,7.0,2,M,6
13,,AlCoCrCuFeMoNi,AC,Unk,BCC+Unk,7.0,2,M,6
14,AlCoCrCuFeNi,Al0.25CoCrCu0.75FeNi,AC,SS,FCC,6.0,1,M,7
15,,Al0.3CoCrCu0.5FeNi,AC+1100C/24h/FC,SS+IM,FCC+L12,6.0,2,,8
16,,Al0.3CoCrCuFeNi,AC,SS,FCC,6.0,1,"H, M",9
17,,,AC,SS,FCC,6.0,1,H,10
18,,Al0.5CoCrCu0.5FeNi,AC,SS,2FCC,6.0,2,,2
19,,,AC,SS,FCC,6.0,1,M,7
20,,Al0.5CoCrCu0.5FeNi2,AC,SS+IM,FCC+L12,6.0,2,H,11
21,,Al0.5CoCrCuFeNi,AC,SS,FCC,6.0,1,"H, M",9
22,,,AC,SS,FCC,6.0,1,H,12
23,,,AC,SS,FCC,6.0,1,"M, W",13
24,,,AC,SS,2FCC,6.0,2,"H, W",14
25,,,AC,SS,FCC,6.0,1,H,10
26,,,AC,SS,2FCC,6.0,2,"H, W",15
27,,,AC,SS,2FCC,6.0,2,"H, W",16
28,,,AC,SS,FCC,6.0,1,H,17
29,,,AC,SS,FCC,6.0,1,H,18
30,,,AC+FOR(40%),SS,BCC+2FCC,6.0,3,H,18
31,,,AC+FOR(40%)+1100C/24/WQ,SS+IM,2FCC,6.0,2,,18
32,,,AC+FOR(40%)+1100C/24/FC,SS,BCC+2FCC,6.0,3,H,18
33,,,AC+1000C/6h/WQ,SS,2FCC,6.0,2,"H, MT",19
34,,,AC+1000C/6h+CR(80%)+900C/5h,SS,2FCC,6.0,2,"H, MT",19
35,,,AC+1000C/6h+CR(80%)+700C/10h,SS,BCC+2FCC,6.0,3,"H, MT",19
36,,,AC+1000C/6h+CR(80%)+600C/10h,SS,BCC+2FCC,6.0,3,"H, MT",19
37,,,AC+1000C/6h+CR(80%)+500C/10h,SS,BCC+FCC,6.0,2,"H, MT",19
38,,,AC+CR (67%),SS+IM,BCC+2FCC+B2,6.0,4,H,20
39,,,AC+CR (67%) +700C/480h,SS+IM,BCC+2FCC+B2+,6.0,5,H,20
40,,,AC+CR (67%) +900C/480h,SS+IM,BCC+2FCC+B2,6.0,4,H,20
41,,,AC+CR (67%) +1100C/480h,SS+IM,2FCC+L12,6.0,3,H,20
42,,,AC+1000C/6h/WQ+CR (84%),SS+IM,FCC+L12,6.0,2,M,21
43,,,AC,SS,2FCC,6.0,2,MT,22
44,,,AC+600C/24h,SS,BCC+FCC,6.0,2,MT,22
45,,Al0.75CoCrCu0.25FeNi,AC,SS,BCC+FCC,6.0,2,M,7
46,,Al0.8CoCrCuFeNi,AC,SS,BCC+2FCC,6.0,3,M,23
47,,,AC,SS,BCC+FCC,6.0,2,"H, M",9
48,,,AC,SS,BCC+FCC,6.0,2,H,10
49,,AlCo0.5CrCu0.5FeNi,AC,IM,B2,6.0,1,,2
50,,AlCo0.5CrCuFeNi,AC,SS+IM,BCC+FCC+B2,6.0,3,H,17
51,,AlCoCr0.5Cu0.5FeNi,AC,SS+IM,BCC+FCC+B2,6.0,3,,2
52,,AlCoCr0.5CuFeNi,AC,SS+IM,BCC+FCC+B2,6.0,3,H,17
53,,AlCoCrCu0.25FeNi,AC,SS,BCC,6.0,1,,24
54,,AlCoCrCu0.5Fe0.5Ni,AC,SS,BCC+FCC,6.0,2,,2
55,,,AC,SS+IM,FCC+B2,6.0,2,,2
56,,AlCoCrCu0.5FeNi,AC,SS+IM,BCC+B2,6.0,2,H,17
57,,,AC,SS+IM,FCC+B2,6.0,2,,2
58,,AlCoCrCu0.5FeNi1.5,AC,SS,BCC+FCC,6.0,2,,2
59,,AlCoCrCu0.5FeNi2,AC,SS,BCC+FCC,6.0,2,,2
60,,AlCoCrCu0.5FeNi2.5,AC,SS+IM,BCC+L12,6.0,2,,2
61,,AlCoCrCu0.5FeNi3,AC,IM,L12,6.0,1,,2
62,,AlCoCrCu0.5Fe1.5Ni,AC,SS+IM,FCC+B2,6.0,2,,2
63,,AlCoCrCu0.5Fe2Ni,AC,SS+IM,FCC+B2,6.0,2,,2
64,,AlCoCrCuFe0.5Ni,AC,SS+IM,BCC+FCC+B2,6.0,3,H,17
65,,AlCoCrCuFeNi0.5,AC,SS+IM,BCC+FCC+B2,6.0,3,H,17
66,,AlCoCrCuFeNi,AC,SS+IM,FCC+B2,6.0,2,"H, M",9
67,,,AC,SS+IM,BCC+FCC+B2,6.0,3,H,10
68,,,AC,SS,BCC+FCC,6.0,2,"H, W",14
69,,,AC,SS,BCC+FCC,6.0,2,H,25
70,,,AC,SS,BCC+FCC,6.0,2,H,1
71,,,AC,SS+IM,BCC+FCC+B2,6.0,3,H,17
72,,,AC,SS,BCC+FCC,6.0,2,M,4
73,,,AC,SS,BCC+FCC,6.0,2,M,4
74,,,AC,SS,BCC+FCC,6.0,2,M,26
75,,,AC+500C/5h,SS,BCC+FCC,6.0,2,M,26
76,,,AC+600C/5h,SS,BCC+FCC,6.0,2,M,26
77,,,AC+645C/5h,SS,BCC+FCC,6.0,2,M,26
78,,,AC+700C/5h,SS,BCC+FCC,6.0,2,M,26
79,,,AC+800C/5h,SS,BCC+FCC,6.0,2,M,26
80,,,AC+900C/5h,SS,BCC+FCC,6.0,2,M,26
81,,,AC+1000C/5h,SS,BCC+FCC,6.0,2,M,26
82,,,AC,SS,BCC+FCC,6.0,2,M,6
83,,,AC,SS+IM,FCC+B2,6.0,2,"H, M, MAG",27
84,,,AC+1000C/2h,SS+IM,2FCC+B2,6.0,3,"H, M, MAG",27
85,,,SQ,IM,B2,6.0,1,H,28
86,,,AC,SS+IM,BCC+2B2+2L12,6.0,5,H,28
87,,,AC,SS+IM,FCC+B2,6.0,2,"MAG, VIB",29
88,,,AC,SS,BCC+2FCC,6.0,3,"H, MT",30
89,,,AC+960C/50h+FOR/950C(1000%),SS+IM,BCC+2FCC+,6.0,4,"H, MT",30
90,,,AC,SS,BCC+FCC,6.0,2,"H, M",31
91,,AlCoCr1.5Cu0.5FeNi,AC,SS,BCC+FCC,6.0,2,,2
92,,AlCoCr2Cu0.5FeNi,AC,SS+IM,FCC+B2,6.0,2,,2
93,,AlCo1.5CrCu0.5FeNi,AC,SS+IM,FCC+B2,6.0,2,,2
94,,AlCo2CrCu0.5FeNi,AC,SS,BCC+FCC,6.0,2,,2
95,,AlCo3CrCu0.5FeNi,AC,SS,BCC+FCC,6.0,2,,2
96,,AlCo3.5CrCu0.5FeNi,AC,SS,FCC,6.0,1,,2
97,,Al1.3CoCrCuFeNi,AC,SS+IM,FCC+B2,6.0,2,"H, M",9
98,,Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni,AC,SS+IM,BCC+B2+Unk,6.0,3,H,11
99,,Al1.5CoCrCu0.5FeNi,AC,IM,B2,6.0,1,,2
100,,Al1.5CoCrCuFeNi,AC,SS+IM,FCC+B2,6.0,2,"H, M",9
101,,Al1.8CoCrCuFeNi,AC,SS+IM,FCC+B2,6.0,2,"H, M",9
102,,Al2CoCrCu0.5FeNi,AC,IM,B2,6.0,1,,2
103,,Al2CoCrCuFeNi,AC,SS+IM,BCC+FCC,6.0,2,"H, M",9
104,,,AC,SS+IM,FCC+B2,6.0,2,"H, W",14
105,,Al2.3CoCrCuFeNi,AC,SS+IM,FCC+B2,6.0,2,"H, M",9
106,,Al2.5CoCrCuFeNi,AC,SS+IM,FCC+B2,6.0,2,"H, M",9
107,,Al2.8CoCrCuFeNi,AC,IM,B2,6.0,1,"H, M",9
108,,Al3CoCrCuFeNi,AC,IM,B2,6.0,1,"H, M",9
109,AlCoCrCuFeNiSi,AlCoCrCu0.5FeNiSi,AC,SS,AM,7.0,1,MT,32
110,,AlCoCrCuFeNiSi,AC,SS,BCC+FCC,7.0,2,H,25
111,AlCoCrCuFeNiTi,Al0.25CoCrCu0.75FeNiTi0.5,AC,SS,2FCC,7.0,2,M,33
112,,Al0.5CoCrCu0.5FeNiTi0.5,AC,SS,2BCC+FCC,7.0,3,M,33
113,,Al0.5CoCrCuFeNiTi0.2,AC,SS,FCC,7.0,1,"H, W",15
114,,Al0.5CoCrCuFeNiTi0.4,AC,SS,2BCC+FCC,7.0,3,"H, W",15
115,,Al0.5CoCrCuFeNiTi0.6,AC,SS,2BCC+FCC,7.0,3,"H, W",15
116,,Al0.5CoCrCuFeNiTi0.8,AC,SS+IM,2BCC+FCC+,7.0,4,"H, W",15
117,,Al0.5CoCrCuFeNiTi,AC,SS+IM,2BCC+FCC+,7.0,4,"H, W",15
118,,Al0.5CoCrCuFeNiTi1.2,AC,SS+IM,2BCC+FCC+NiTi2+,7.0,5,"H, W",15
119,,Al0.5CoCrCuFeNiTi1.4,AC,SS+IM,BCC+FCC+B2+NiTi2,7.0,4,"H, W",15
120,,Al0.5CoCrCuFeNiTi1.6,AC,SS+IM,BCC+FCC+B2+NiTi2,7.0,4,"H, W",15
121,,Al0.5CoCrCuFeNiTi1.8,AC,SS+IM,BCC+FCC+B2+NiTi2,7.0,4,"H, W",15
122,,Al0.5CoCrCuFeNiTi2.0,AC,SS+IM,BCC+FCC+B2+NiTi2,7.0,4,"H, W",15
123,,Al0.75CoCrCu0.25FeNiTi0.5,AC,SS,2BCC,7.0,2,M,33
124,,AlCoCrCu0.25FeNiTi0.5,AC,SS,2BCC,7.0,2,M,34
125,,AlCoCrCu0.5FeNiTi0.5,AC,SS,2BCC,7.0,2,M,34
126,,AlCoCrCuFeNiTi,AC,SS+IM,BCC+FCC+B2,7.0,3,,4
127,AlCoCrCuFeNiTiMnV,Al0.125CoCrCuFeNiTiMnV,AC,SS,BCC+FCC,9.0,2,M,5
128,,Al0.25CoCrCuFeNiTiMnV,AC,SS,BCC,9.0,1,M,5
129,,Al0.67CoCrCuFeNiTiMnV,AC,SS,BCC+D022+Unk,9.0,3,M,5
130,AlCoCrCuFeNiTiV,AlCoCrCuFeNiTiV,AC,SS,BCC+FCC,8.0,2,H,12
131,,,SQ,SS,BCC,8.0,1,H,12
132,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV0.2,AC,SS,2FCC,7.0,2,"H, W",16
133,,Al0.5CoCrCuFeNiV0.4,AC,SS,BCC+FCC,7.0,2,"H, W",16
134,,Al0.5CoCrCuFeNiV0.6,AC,SS+IM,BCC+FCC+,7.0,3,"H, W",16
135,,Al0.5CoCrCuFeNiV0.8,AC,SS+IM,BCC+FCC+,7.0,3,"H, W",16
136,,Al0.5CoCrCuFeNiV,AC,SS+IM,BCC+FCC+,7.0,3,"H, W",16
137,,Al0.5CoCrCuFeNiV1.2,AC,SS,BCC+FCC,7.0,2,"H, W",16
138,,Al0.5CoCrCuFeNiV1.4,AC,SS,BCC+FCC,7.0,2,"H, W",16
139,,Al0.5CoCrCuFeNiV1.6,AC,SS,BCC+FCC,7.0,2,"H, W",16
140,,Al0.5CoCrCuFeNiV1.8,AC,SS,BCC+FCC,7.0,2,"H, W",16
141,,Al0.5CoCrCuFeNiV2,AC,SS,BCC+FCC,7.0,2,"H, W",16
142,,AlCoCrCuFeNiV,AC,SS,BCC+FCC,7.0,2,,4
143,AlCoCrCuNi,AlCoCrCu0.5Ni,AC,SS+IM,BCC+FCC+B2,5.0,3,H,12
144,,,AC,SS+IM,BCC+FCC+B2,5.0,3,,2
145,,,SP,SS,BCC,5.0,1,H,12
146,,AlCoCrCuNi,AC,SS,BCC+FCC,5.0,2,,25
147,,,AC,SS+IM,BCC+FCC+B2,5.0,3,H,1
148,AlCoCrCuNiTi,AlCoCrCuNiTi,AC,SS,2BCC+FCC,6.0,3,M,35
149,AlCoCrCuNiTiY,AlCoCrCuNiTiY0.5,AC,SS+IM,BCC+FCC+C15+L21,7.0,4,M,35
150,,AlCoCrCuNiTiY0.8,AC,SS+IM,BCC+C15+L21,7.0,3,M,35
151,,AlCoCrCuNiTiY,AC,SS+IM,BCC+C15+L21+Unk,7.0,4,M,35
152,AlCoCrFeMnNi,Al0.02CoCrFeMnNi,AC,SS,FCC,6.0,1,"H, MT",36
153,,Al0.03CoCrFeMnNi,AC,SS,FCC,6.0,1,"H, MT",36
154,,Al0.04CoCrFeMnNi,AC,SS,FCC,6.0,1,"H, MT",36
155,,Al0.08CoCrFeMnNi,AC,SS,FCC,6.0,1,"H, MT",36
156,,Al0.09CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6.0,3,"H, MT",36
157,,Al0.10CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6.0,3,"H, MT",36
158,,Al0.11CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6.0,3,"H, MT",36
159,,Al0.12CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6.0,3,"H, MT",36
160,,Al0.14CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6.0,3,"H, MT",36
161,,Al0.15CoCrFeMnNi,AC,SS+IM,BCC+FCC+B2,6.0,3,"H, MT",36
162,,Al0.16CoCrFeMnNi,AC,SS+IM,BCC+B2,6.0,2,"H, MT",36
163,,Al0.18CoCrFeMnNi,AC,SS+IM,BCC+B2,6.0,2,"H, MT",36
164,,Al0.19CoCrFeMnNi,AC,SS+IM,BCC+B2,6.0,2,"H, MT",36
165,,Al0.25CoCrFeMnNi,AC,SS+IM,BCC+B2,6.0,2,"H, MT",36
166,AlCoCrFeMnNiV,Al0.4CoCrFeMnNiV,AC+700C/20h,IM,σ,7.0,1,H,37
167,,AlCo0.5Cr0.5Fe0.5MnNiV0.5,AC+700C/20h,SS,BCC,7.0,1,H,37
168,,AlCo0.5Cr0.5Fe0.5MnNiV,AC+700C/20h,SS,BCC,7.0,1,H,37
169,,AlCo1.5Cr2Fe1.5Mn2NiV,AC+700C/20h,IM,σ,7.0,1,H,37
170,AlCoCrFeMoNi,Al0.3CoCrFeMo0.1Ni,AC,SS,FCC,6.0,1,,38
171,,,AC,SS,FCC,6.0,1,H,39
172,,,AC+700C/144h/WQ,SS+IM,FCC+B2+,6.0,3,H,39
173,,AlCo0.5CrFeMo0.5Ni,AC,SS+IM,BCC+B2+σ,6.0,3,H,40
174,,AlCoCr0.5FeMo0.5Ni,AC,IM,B2+σ,6.0,2,H,41
175,,AlCoCrFe0.6Mo0.5Ni,AC,IM,B2+σ,6.0,2,"H, W",42
176,,AlCoCrFeMo0.1Ni,AC,SS,BCC,6.0,1,"DSC, M",43
177,,AlCoCrFeMo0.2Ni,AC,SS+IM,BCC+IM,6.0,2,"DSC, M",43
178,,AlCoCrFeMo0.3Ni,AC,SS+IM,BCC+IM,6.0,2,"DSC, M",43
