,Composition,Processing Condition,SS or IM,Phases,Property,References
1,AlCoCrCuFeNiMox,AC,SS,BCC,M,6
2,LaNi5,AC,SS,BCC,H,101
3,AlCoCrCuFeNi,AC,SS,BCC,H,102
4,Ta20Nb20Hf20Zr20Ti20,AC,SS,BCC,M,112
5,FeNiCr,AC,SS,FCC,H,89
6,Fe20Cr20Mn20Ni20Co20,AC,SS,FCC,M,86
7,AlCrFeCoNi,AC,SS,BCC,M,53
8,AlxCoCrFeNi,AC,SS,BCC,H,56
9,AlCoCrCuFeNi,AC,SS,BCC,H,28
10,CoCrFeNiMox,AC,SS,BCC,H,93
11,AlxCoCrCuFeNi,AC,SS,FCC,H,93
12,AlCoCrCuFeNiMox,AC,SS,BCC,H,93
13,AlCoCrFeNiMox,AC,SS,BCC,H,93
14,AlxCoFeNi,AC,SS,BCC,H,70
15,SixCoFeNi,AC,SS,BCC,H,70
16,AlxCoCrCuFeNi,AC,SS,BCC,H,11
17,Al23Co15Cr23Cu8Fe15Ni16,AC,SS,BCC,H,11
18,CuNi,AC,SS,BCC,H,25
19,Al0.4Hf0.6NbTaTiZr,AC,SS,BCC,M,105
20,AlMo0.5NbTa0.5TiZr,AC,SS,BCC,M,105
21,FeMnNiCuCoSnx,AC,IM,FCC,H,99
22,AlCoCrCuNi,AC,SS,BCC,H,1
23,AlAuCoCrCuNi,AC,SS,BCC,H,1
24,AlxCoCrCuFeNi,AC,SS,BCC,H,1
25,AgAlCoCrCuNi,AC,SS,BCC,H,1
26,AlxCoCrFeNi,AC,SS,BCC,H,44
27,AlxCoCrCuFeNi,AC,SS,BCC,H,14
28,AlLiMgZnSn,AC,SS,FCC,M,117
29,CrFeMnNiAlx,AC,SS,FCC,H,92
30,CoCrFeMnNiVx,AC,SS,FCC,H,92
31,CoCrFeNiMnVx,AC,SS,FCC,H,92
32,AlCoCrFeNi,AC,SS,BCC,M,58
33,AlCoCrFeNiCx,AC,SS,BCC,M,58
34,AlCoCrCuFe,MA,IM,BCC,H,3
35,NiCoCuFe,MA,SS,BCC,H,3
36,NiCoFe,MA,SS,BCC,H,3
37,FeCo,AC,IM,BCC,H,29
38,SiNiCrTiAl,AC,SS,FCC,H,104
39,GdTbDyTmLu,AC,SS,BCC,H,119
40,CoCrFeNiTiAl,AC,IM,BCC,M,64
41,AlxCoCrFeNi,AC,SS,FCC,H,48
42,AlCr2FeCoNi,MA,IM,BCC,H,54
43,AlCoCrFeNi,AC,IM,BCC,H,57
44,AlCoCrFeNiSix,AC,IM,BCC,H,57
45,CoCrFeNiTi0.3,AC,SS,BCC,M,38
46,MnCr,MA,SS,BCC,H,103
47,CoCrFeNiCuAl,AC,SS,BCC,H,27
48,Fe40Mn40Co10Cr10,AC,SS,BCC,M,87
49,AlxCoCrCuFeNi,AC,SS,BCC,H,17
50,Al0.5CoCrCuFeNi,AC,SS,BCC,H,17
51,CoCrFeNiTiAlx,AC,SS,BCC,H,63
52,AlCoCrFeNiMox,AC,SS,BCC,M,109
53,AlxCoCrCuFeNi,MA,SS,BCC,M,109
54,FeCoNiCuAl,AC,SS,BCC,H,31
55,AlCoCrCuNi,AC,SS,BCC,H,31
56,FeCoNiCuAlSi,AC,SS,BCC,H,31
